"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"201"	"CHLOROPHTHALMUS AGASSIZI"	232	162430	"SHORTNOSE GREENEYE"	"Bonaparte, 1840"
"202"	"GONOSTOMA BATHYPHILUM"	233	162184	NA	NA
"203"	"GONOSTOMA ATLANTICUM"	234	162183	NA	NA
"204"	"GONOSTOMA ELONGATUM"	235	162185	"LONGTOOTH ANGLEMOUTH"	"Guenther"
"205"	"VINCIGUERRIA "	236	162192	NA	NA
"206"	"POLYMETME THAEOCORYLA "	237	622358	NA	NA
"207"	"BENTHODESMUS SIMONYI"	239	172380	"SIMONYS FROSTFISH"	"(Steindachner, 1891)"
"208"	"CHAULIODUS SLOANI"	240	162281	"VIPERFISH"	"Schneider"
"209"	"CHAULIODUS DANAE"	241	162280	NA	NA
"210"	"PARASUDIS TRUCULENTA"	242	162435	"LONGNOSE GREENEYE"	"Goode Bean"
"211"	"XENODERMICHTHYS COPEI"	243	162340	"BLUNTNOSE SMOOTHHEAD"	NA
"212"	"VINCIGUERRIA ATTENUATA"	244	162193	"SLENDER LIGHTFISH"	NA
"213"	"PARALEPIS COREGONOIDES"	245	162493	NA	"Risso, 1820"
"214"	"ARCTOZENUS RISSO "	246	644687	"WHITE BARRACUDINA"	NA
"215"	"STOMIIDAE"	248	162282	"SCALY DRAGONFISH UNCL"	NA
"216"	"CYCLOPTERIDAE"	249	167483	"LUMPFISH SNAILFISH UNCL"	NA
"217"	"ARGYROPELECUS ACULEATUS"	250	162215	"SILVER HATCHETFISH"	"Cuvier and Valenciennes"
"218"	"POLYIPNUS CLARUS "	251	622357	"SLOPE HATCHETFISH"	NA
"219"	"STERNOPTYCHIDAE"	252	162212	"HATCHETFISH UNCL"	NA
"220"	"CAREPROCTUS RANULA "	260	643676	NA	NA
"221"	"HOPLOSTETHUS MEDITERRANEUS"	261	166140	"BLACKMOUTHED ALFONSIN"	"Cuvier and Valenciennes"
"222"	"MELANOSTIGMA ATLANTICUM"	262	165296	"ATLANTIC SOFT POUT"	"Koefoed, 1952"
"223"	"POLYMIXIA LOWEI"	263	166126	"BEARDFISH"	"Guenther, 1859"
"224"	"POLYMIXIA NOBILIS"	264	166127	"STOUT BEARDFISH"	"Lowe"
"225"	"MOLA MOLA"	265	173414	"OCEAN SUNFISH"	"(Linnaeus, 1758)"
"226"	"HOPLOSTETHUS OCCIDENTALIS"	266	166141	NA	NA
"227"	"ZOARCIDAE"	267	165215	"EELPOUT UNCL"	NA
"228"	"GEPHYROBERYX DARWINI"	268	166137	"BIG ROUGHY"	"(Johnson, 1866)"
"229"	"RHINOPTERA BONASUS"	270	160985	"COWNOSE RAY"	"(Mitchill, 1815)"
"230"	"AETOBATUS NARINARI  "	271	160978	"SPOTTED EAGLE RAY"	NA
"231"	"MANTA BIROSTRIS"	272	160992	"MANTA"	"(Walbaum, 1792)"
"232"	"PRIONOTUS PARALATUS"	274	166987	"MEXICAN SEAROBIN"	"Ginsburg, 1950"
