"","taxon","spp","sppCorr","common.malin","common","taxLvl","species","genus","family","order","class","superclass","subphylum","phylum","kingdom"
"784","RAJA TEXAA","Raja texaa","Raia texana","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785","RAJA TEXANA",NA,NA,"roundel skate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786","RANINOIDES LOUISIANENSIS",NA,NA,"Gulf frog crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787","REILLA MULLERI","Reilla mulleri","Renilla muelleri","","Mueller's sea pansy","Species","Renilla muelleri","Renilla","Renillidae","Pennatulacea","Anthozoa",NA,"Anthozoa","Cnidaria","Animalia"
"788","REINHARDTIUS HIPPOGLOSSOIDES","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut","Greenland flounder","Species","Reinhardtius hippoglossoides","Reinhardtius","Pleuronectidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"789","RHIOPTERA BOASUS","Rhioptera boasus","Rhinoptera bonasus","","cownose ray","Species","Rhinoptera bonasus","Rhinoptera","Rhinopteridae","Myliobatiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"790","RHIZOPRIONODON TERRAENOVAE","Rhizoprionodon terraenovae","Rhizoprionodon terraenovae","Atlantic sharpnose shark","Atlantic sharpnose shark","Species","Rhizoprionodon terraenovae","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"791","RHIZOPRIOODO TERRAEOVAE","Rhizoprioodo terraeovae","Rhizoprionodon terraenova","","cazón de ley","Species","Rhizoprionodon terraenovae","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"792","RHOMBOPLITES AURORUBES","Rhomboplites aurorubes","Rhomboplites aurorubens","","vermilion snapper","Species","Rhomboplites aurorubens","Rhomboplites","Lutjanidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"793","ROSSIINAE","Rossiinae","Rossiinae","bobtail squids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","Radulinus asprellus","Radulinus asprellus","Radulinus asprellus","","slim sculpin","Species","Radulinus asprellus","Radulinus","Cottidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"795","Raja binoculata","Raja binoculata","Raja binoculata","big skate","big skate","Species","Raja binoculata","Raja","Rajidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"796","Raja binoculata egg case",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797","Raja inornata","Raja inornata","Raja inornata","","California ray","Species","Raja inornata","Raja","Rajidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"798","Raja rhina","Raja rhina","Raja rhina","longnose skate","longnose skate","Species","Raja rhina","Raja","Rajidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"799","Raja sp. egg case",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800","Raja stellulata","Raja stellulata","Raja stellulata","","starry skate","Species","Raja stellulata","Raja","Rajidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"801","Rajabinoculata",NA,NA,"big skate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"802","Rajarhina",NA,NA,"longnose skate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803","Rajiformes egg case",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804","Rastrinus scutiger","Rastrinus scutiger","Rastrinus scutiger","","roughskin sculpin","Species","Rastrinus scutiger","Rastrinus","Cottidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"805","Rathbunaster californicus","Rathbunaster californicus","Rathbunaster californicus","",NA,"Species","Rathbunaster californicus","Rathbunaster","Asteriidae","Forcipulatida","Asteroidea",NA,"Asterozoa","Echinodermata","Animalia"
"806","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Greenland halibut","Greenland flounder","Species","Reinhardtius hippoglossoides","Reinhardtius","Pleuronectidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"807","Reinhardtiushippoglossoides",NA,NA,"Greenland halibut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"808","Rhamphocottus richardsoni","Rhamphocottus richardsoni","Rhamphocottus richardsoni","","grunt sculpin","Species","Rhamphocottus richardsonii","Rhamphocottus","Rhamphocottidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"809","Rhamphocottusrichardsoni",NA,NA,"grunt sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810","Rhinolithodes wosnessenskii","Rhinolithodes wosnessenskii","Rhinolithodes wosnessenskii","","rhinoceros crab","Species","Rhinolithodes wosnessenskii","Rhinolithodes","Lithodidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"811","Ronquilus jordani","Ronquilus jordani","Ronquilus jordani","","northern ronquil","Species","Ronquilus jordani","Ronquilus","Bathymasteridae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"812","Rossellinae","Rossellinae","Rossellinae","",NA,"Subfamily",NA,NA,"Rossellidae","Lyssacinosida","Hexactinellida",NA,NA,"Porifera","Animalia"
"813","Rossia pacifica","Rossia pacifica","Rossia pacifica","eastern pacific bobtail","eastern pacific bobtail","Species","Rossia pacifica","Rossia","Sepiolidae","Sepiolida","Cephalopoda",NA,NA,"Mollusca","Animalia"
"814","Rossiapacifica",NA,NA,"eastern pacific bobtail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815","SABINEA HYSTRIX","Sabinea hystrix","Sabinea hystrix","shrimp",NA,"Species","Sabinea hystrix","Sabinea","Crangonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"816","SABINEA SARSI","Sabinea sarsi","Sabinea sarsi","Sars shrimp","Sars shrimp","Species","Sabinea sarsii","Sabinea","Crangonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"817","SABINEA SEPTEMCARINATA","Sabinea septemcarinata","Sabinea septemcarinata","sevenline shrimp","sevenline shrimp","Species","Sabinea septemcarinata","Sabinea","Crangonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"818","SARDIELLA AURITA","Sardiella aurita","Sardinella aurita","","round sardinella","Species","Sardinella aurita","Sardinella","Clupeidae","Clupeiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"819","SAURIDA BRASILIENSIS",NA,NA,"largescale lizardfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820","SAURIDA BRASILIESIS","Saurida brasiliesis","Candida brasiliensis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821","SCLEROCRANGON BOREAS","Sclerocrangon boreas","Sclerocrangon boreas","sculptured shrimp","sculptured shrimp","Species","Sclerocrangon boreas","Sclerocrangon","Crangonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"822","SCOMBER SCOMBRUS","Scomber scombrus","Scomber scombrus","Atlantic mackerel","Atlantic mackerel","Species","Scomber scombrus","Scomber","Scombridae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"823","SCOMBEROMORUS CAVALLA","Scomberomorus cavalla","Scomberomorus cavalla","","king mackerel","Species","Scomberomorus cavalla","Scomberomorus","Scombridae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"824","SCOMBEROMORUS MACULATUS","Scomberomorus maculatus","Scomberomorus maculatus","Atlantic Spanish mackerel","Spanish mackerel","Species","Scomberomorus maculatus","Scomberomorus","Scombridae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"825","SCOPHTHALMUS AQUOSUS","Scophthalmus aquosus","Scophthalmus aquosus","","windowpane","Species","Scophthalmus aquosus","Scophthalmus","Scophthalmidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"826","SCORPAEA CALCARATA","Scorpaea calcarata","Scorpaena calcarata","","smoothhead scorpionfish","Species","Scorpaena calcarata","Scorpaena","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"827","SCORPAENA CALCARATA","Scorpaena calcarata","Scorpaena calcarata","smoothhead scorpionfish","smoothhead scorpionfish","Species","Scorpaena calcarata","Scorpaena","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"828","SCYLIORHINUS RETIFER","Scyliorhinus retifer","Scyliorhinus retifer","","chain catshark","Species","Scyliorhinus retifer","Scyliorhinus","Scyliorhinidae","Carcharhiniformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"829","SCYPHOZOA","Scyphozoa","Scyphozoa","jellyfishes","jellyfishes","Class",NA,NA,NA,NA,"Scyphozoa",NA,"Medusozoa","Cnidaria","Animalia"
"830","SEBASTES FASCIATUS","Sebastes fasciatus","Sebastes fasciatus","","Acadian redfish","Species","Sebastes fasciatus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"831","SEBASTES MARINUS","Sebastes marinus","Sebastes marinus","golden redfish","ocean perch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832","SEBASTES MENTELLA","Sebastes mentella","Sebastes mentella","deepwater redfish","deepwater redfish","Species","Sebastes mentella","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"833","SEBASTES SP",NA,NA,"rockfishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834","SEBASTES SP.","Sebastes","Sebastes","rockfishes","rockfishes","Genus",NA,"Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"835","SELAR CRUMENOPHTHALMUS","Selar crumenophthalmus","Selar crumenophthalmus","bigeye scad","bigeye scad","Species","Selar crumenophthalmus","Selar","Carangidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"836","SELAR CRUMEOPHTHALMUS","Selar crumeophthalmus","Selar crumenopthalmus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837","SELEE SETAPIIS","Selee setapiis","Selene setapinnis","","Atlantic moonfish","Species","Selene setapinnis","Selene","Carangidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"838","SELEE VOMER","Selee vomer","Selene vomer","","lookdown","Species","Selene vomer","Selene","Carangidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"839","SELENE SETAPINNIS","Selene setapinnis","Selene setapinnis","Atlantic moonfish","Atlantic moonfish","Species","Selene setapinnis","Selene","Carangidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"840","SERIOLA DUMERILI","Seriola dumerili","Seriola dumerili","","greater amberjack","Species","Seriola dumerili","Seriola","Carangidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"841","SERRAICULUS PUMILIO","Serraiculus pumilio","Serraniculus pumilio","","pygmy sea bass","Species","Serraniculus pumilio","Serraniculus","Serranidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"842","SERRANUS ATROBRANCHUS",NA,NA,"blackear bass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"843","SERRAUS ATROBRACHUS","Serraus atrobrachus","Serranus atrobranchus","","blackear bass","Species","Serranus atrobranchus","Serranus","Serranidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"844","SERRIVOMER BEANI","Serrivomer beani","Serrivomer beani","sawtooth eel","Bean's sawtoothed eel","Species","Serrivomer beanii","Serrivomer","Serrivomeridae","Anguilliformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"845","SICYOIA BREVIROSTRIS","Sicyoia brevirostris","Eusicyonia brevirostris","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846","SICYOIA BURKEROADI","Sicyoia burkeroadi","Sicyonia burkenroadi","","spiny rock shrimp","Species","Sicyonia burkenroadi","Sicyonia","Sicyoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"847","SICYOIA DORSALIS","Sicyoia dorsalis","Sicyonia dorsalis","","lesser rock shrimp","Species","Sicyonia dorsalis","Sicyonia","Sicyoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"848","SICYONIA BREVIROSTRIS","Sicyonia brevirostris","Sicyonia brevirostris","brown rock shrimp","brown rock shrimp","Species","Sicyonia brevirostris","Sicyonia","Sicyoniidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"849","SICYONIA DORSALIS",NA,NA,"lesser rock shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"850","SOLENOCERA",NA,NA,"shrimps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851","SOLEOCERA VIOSCAI","Soleocera vioscai","Solenocera vioscai","","humpback shrimp","Species","Solenocera vioscai","Solenocera","Solenoceridae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"852","SPHOEROIDES PARVUS","Sphoeroides parvus","Sphoeroides parvus","least puffer","least puffer","Species","Sphoeroides parvus","Sphoeroides","Tetraodontidae","Tetraodontiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"853","SPHYRAEA GUACHACHO","Sphyraea guachacho","Sphyraena guachanche","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854","SPHYRAENA GUACHANCHO","Sphyraena guachancho","Sphyraena guachancho","guaguanche","guaguanche","Species","Sphyraena guachancho","Sphyraena","Sphyraenidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"855","SPIRONTOCARIS LILLJEBORGI","Spirontocaris lilljeborgi","Spirontocaris lilljeborgi","friendly blade shrimp",NA,"Species","Spirontocaris lilljeborgii","Spirontocaris","Hippolytidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"856","SPIRONTOCARIS SPINUS","Spirontocaris spinus","Spirontocaris spinus","parrot shrimp","parrot shrimp","Species","Spirontocaris spinus","Spirontocaris","Hippolytidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"857","SQUALUS ACANTHIAS","Squalus acanthias","Squalus acanthias","piked dogfish","spiny dogfish","Species","Squalus acanthias","Squalus","Squalidae","Squaliformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia"
"858","SQUILLA CHYDAEA","Squilla chydaea","Squilla chydaea","",NA,"Species","Squilla chydaea","Squilla","Squillidae","Stomatopoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"859","SQUILLA EMPUSA","Squilla empusa","Squilla empusa","","mantis shrimp","Species","Squilla empusa","Squilla","Squillidae","Stomatopoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"860","STELLIFER LACEOLATUS","Stellifer laceolatus","Stellifer lanceolatus","","American stardrum","Species","Stellifer lanceolatus","Stellifer","Sciaenidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"861","STELLIFER LANCEOLATUS","Stellifer lanceolatus","Stellifer lanceolatus","star drum","American stardrum","Species","Stellifer lanceolatus","Stellifer","Sciaenidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"862","STENOTOMUS CAPRINUS",NA,NA,"longspine porgy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"863","STENOTOMUS CHRYSOPS","Stenotomus chrysops","Stenotomus chrysops","","scup","Species","Stenotomus chrysops","Stenotomus","Sparidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"864","STEORHYCHUS SETICORIS","Steorhychus seticoris","Stenorhynchus seticornis","","yellowline arrow crab","Species","Stenorhynchus seticornis","Stenorhynchus","Inachidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"865","STEOTOMUS CAPRIUS","Steotomus caprius","Stenotomus caprinus","","longspine porgy","Species","Stenotomus caprinus","Stenotomus","Sparidae","Perciformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"866","STEREOMASTIS SCULPTA","Stereomastis sculpta","Stereomastis sculpta","flatback lobster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"867","STOMIAS BOA FEROX","Stomias boa ferox","Stomias boa ferox","boa dragonfish","boa dragonfish","Subspecies","Stomias boa","Stomias","Stomiidae","Stomiiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"868","SYACIUM GUNTERI",NA,NA,"shoal flounder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"869","SYACIUM GUTERI","Syacium guteri","Scyacium gunteri","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"870","SYACIUM PAPILLOSUM","Syacium papillosum","Syacium papillosum","dusky flounder","dusky flounder","Species","Syacium papillosum","Syacium","Paralichthyidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"871","SYMPHURUS CIVITATUM","Symphurus civitatum","Symphurus civitatum","","offshore tonguefish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"872","SYMPHURUS DIOMEDIAUS","Symphurus diomediaus","Symphurus diomedeanus","","spottedfin tonguefish","Species","Symphurus diomedeanus","Symphurus","Cynoglossidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"873","SYMPHURUS PLAGIUSA","Symphurus plagiusa","Symphurus plagiusa","blackcheek tonguefish","blackcheek tonguefish","Species","Symphurus plagiusa","Symphurus","Cynoglossidae","Pleuronectiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"874","SYNAPHOBRANCHUS KAUPI","Synaphobranchus kaupi","Synaphobranchus kaupi","northern cutthroat eel","northern cutthroat eel","Species","Synaphobranchus kaupii","Synaphobranchus","Synaphobranchidae","Anguilliformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"875","SYNODUS FOETENS","Synodus foetens","Synodus foetens","inshore lizardfish","inshore lizardfish","Species","Synodus foetens","Synodus","Synodontidae","Aulopiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"876","SYNODUS POEYI","Synodus poeyi","Synodus poeyi","offshore lizardfish","offshore lizardfish","Species","Synodus poeyi","Synodus","Synodontidae","Aulopiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"877","SYODUS FOETES","Syodus foetes","Synodus foetens","","inshore lizardfish","Species","Synodus foetens","Synodus","Synodontidae","Aulopiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"878","SYODUS POEYI","Syodus poeyi","Synodus poeyi","","offshore lizardfish","Species","Synodus poeyi","Synodus","Synodontidae","Aulopiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"879","Sardinops sagax","Sardinops sagax","Sardinops sagax","","South American pilchard","Species","Sardinops sagax","Sardinops","Clupeidae","Clupeiformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"880","Scleractinia","Scleractinia","Scleractinia","","stony corals","Order",NA,NA,NA,"Scleractinia","Anthozoa",NA,"Anthozoa","Cnidaria","Animalia"
"881","Sclerocrangon boreas","Sclerocrangon boreas","Sclerocrangon boreas","sculptured shrimp","sculptured shrimp","Species","Sclerocrangon boreas","Sclerocrangon","Crangonidae","Decapoda","Malacostraca",NA,"Crustacea","Arthropoda","Animalia"
"882","Scomber scombrus",NA,NA,"Atlantic mackerel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883","Scophthalmus aquosus",NA,NA,"windowpane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884","Scyphozoa","Scyphozoa","Scyphozoa","jellyfishes","jellyfishes","Class",NA,NA,NA,NA,"Scyphozoa",NA,"Medusozoa","Cnidaria","Animalia"
"885","Sebastes alutus","Sebastes alutus","Sebastes alutus","Pacific ocean perch","Pacific ocean perch","Species","Sebastes alutus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"886","Sebastes auriculatus","Sebastes auriculatus","Sebastes auriculatus","","brown rockfish","Species","Sebastes auriculatus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"887","Sebastes aurora","Sebastes aurora","Sebastes aurora","","aurora rockfish","Species","Sebastes aurora","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"888","Sebastes babcocki","Sebastes babcocki","Sebastes babcocki","redbanded rockfish","redbanded rockfish","Species","Sebastes babcocki","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"889","Sebastes borealis","Sebastes borealis","Sebastes borealis","shortraker rockfish","shortraker rockfish","Species","Sebastes borealis","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"890","Sebastes brevispinis","Sebastes brevispinis","Sebastes brevispinis","","silvergray rockfish","Species","Sebastes brevispinis","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"891","Sebastes caurinus","Sebastes caurinus","Sebastes caurinus","","copper rockfish","Species","Sebastes caurinus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"892","Sebastes chlorostictus","Sebastes chlorostictus","Sebastes chlorostictus","greenspotted rockfish","greenspotted rockfish","Species","Sebastes chlorostictus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"893","Sebastes crameri","Sebastes crameri","Sebastes crameri","darkblotched rockfish","darkblotched rockfish","Species","Sebastes crameri","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"894","Sebastes diploproa","Sebastes diploproa","Sebastes diploproa","splitnose rockfish","splitnose rockfish","Species","Sebastes diploproa","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"895","Sebastes elongatus","Sebastes elongatus","Sebastes elongatus","greenstriped rockfish","greenstriped rockfish","Species","Sebastes elongatus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"896","Sebastes entomelas","Sebastes entomelas","Sebastes entomelas","widow rockfish","widow rockfish","Species","Sebastes entomelas","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"897","Sebastes fasciatus",NA,NA,"Acadian redfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898","Sebastes flavidus","Sebastes flavidus","Sebastes flavidus","yellowtail rockfish","yellowtain rockfish","Species","Sebastes flavidus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"899","Sebastes goodei","Sebastes goodei","Sebastes goodei","chilipepper","chilipepper","Species","Sebastes goodei","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"900","Sebastes helvomaculatus","Sebastes helvomaculatus","Sebastes helvomaculatus","rosethorn rockfish","rosethorn rockfish","Species","Sebastes helvomaculatus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"901","Sebastes hopkinsi","Sebastes hopkinsi","Sebastes hopkinsi","","squarespot rockfish","Species","Sebastes hopkinsi","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"902","Sebastes jordani","Sebastes jordani","Sebastes jordani","shortbelly rockfish","shortbelly rockfish","Species","Sebastes jordani","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"903","Sebastes levis","Sebastes levis","Sebastes levis","","cowcod","Species","Sebastes levis","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"904","Sebastes maliger","Sebastes maliger","Sebastes maliger","","quillback rockfish","Species","Sebastes maliger","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"905","Sebastes melanops","Sebastes melanops","Sebastes melanops","","black rockfish","Species","Sebastes melanops","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"906","Sebastes melanostictus or Sebastes aleutianus","Sebastes melanostictus or sebastes aleutianus","Sebastes melanostictus","","blackspotted rockfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907","Sebastes melanostomus","Sebastes melanostomus","Sebastes melanostomus","","blackgill rockfish","Species","Sebastes melanostomus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"908","Sebastes paucispinis","Sebastes paucispinis","Sebastes paucispinis","bocaccio","bocaccio","Species","Sebastes paucispinis","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"909","Sebastes pinniger","Sebastes pinniger","Sebastes pinniger","canary rockfish","canary rockfish","Species","Sebastes pinniger","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"910","Sebastes polyspinis","Sebastes polyspinis","Sebastes polyspinis","northern rockfish","northern rockfish","Species","Sebastes polyspinis","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"911","Sebastes proriger","Sebastes proriger","Sebastes proriger","redstripe rockfish","redstripe rockfish","Species","Sebastes proriger","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"912","Sebastes reedi","Sebastes reedi","Sebastes reedi","yellowmouth rockfish","yellowmouth rockfish","Species","Sebastes reedi","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"913","Sebastes ruberrimus","Sebastes ruberrimus","Sebastes ruberrimus","rasphead rockfish","yelloweye rockfish","Species","Sebastes ruberrimus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
"914","Sebastes rufus","Sebastes rufus","Sebastes rufus","bank rockfish","bank rockfish","Species","Sebastes rufus","Sebastes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Osteichthyes","Vertebrata","Chordata","Animalia"
