"","SCINAME","SVSPP","ITISSPP","COMNAME","AUTHOR"
NA,PANDALUS MONTAGUI,297,96971,AESOP SHRIMP,Leach, 1814
NA,PANDALUS PROPINQUUS,298,96986,NA,G. O. Sars, 1869
NA,PONTOPHILUS NORVEGICUS,299,97184,NORWEGIAN SHRIMP,(M. Sars, 1861)
NA,HOMARUS AMERICANUS,301,97314,AMERICAN LOBSTER,H. Milne-Edwards, 1837
NA,SCYLLARIDES NODIFER,302,97673,RIDGED SLIPPER LOBSTER,(Stimpson, 1866)
NA,SCYLLARIDES AEQUINOCTIALIS,303,97676,SPANISH SLIPPER LOBSTER,(Lund, 1793)
NA,PANULIRUS ARGUS,304,97648,CARIBBEAN SPINY LOBSTER,(Latreille, 1804)
NA,CRUSTACEA SHRIMP,305,NA,SHRIMP UNCL,NA
NA,PANDALUS BOREALIS,306,96967,NORTHERN SHRIMP,Kroyer, 1838
NA,PENAEUS ,307,95603,SHRIMP (PINK -BROWN - WHITE),NA
NA,GERYON FENNERI,308,98909,GOLDEN DEEPSEA CRAB,Manning and Holthuis, 1984
NA,GERYON AFFINIS,309,98908,WHITE CRAB,NA
NA,GERYON QUINQUEDENS,310,98906,RED DEEPSEA CRAB,Smith, 1879
NA,CANCRIDAE,311,98670,CANCER CRAB UNCL,Latreille, 1803
NA,CANCER BOREALIS,312,98678,JONAH CRAB,Stimpson, 1859
NA,CANCER IRRORATUS,313,98679,ATLANTIC ROCK CRAB,Say, 1817
NA,CALLINECTES SAPIDUS,314,98696,BLUE CRAB,Rathbun, 1896
NA,OVALIPES ,315,98710,CALICO CRAB UNCL,NA
NA,SICYONIA BREVIROSTRIS,316,96028,BROWN ROCK SHRIMP,Stimpson, 1871
NA,MAJIDAE,317,98417,SPIDER CRAB UNCL,Samouelle, 1819
NA,LIMULUS POLYPHEMUS,318,82703,HORSESHOE CRAB,NA
NA,GALATHEIDAE,319,97964,GALATHEID UNCL,Samouelle, 1819
NA,PORTUNIDAE,320,98689,SWIMMING CRAB UNCL,Rafinesque, 1815
NA,OVALIPES STEPHENSONI,321,98715,COARSEHAND LADY CRAB,Williams, 1976
NA,OVALIPES OCELLATUS,322,98714,LADY CRAB,(Herbst, 1799)
NA,STOMATOPODA,323,99140,MANTIS SHRIMP UNCL,Latreille, 1817
