strgrp_desc,stratum,stratum_name,stratum_area,midlat,midlon,minlat,maxlat,minlon,maxlon,blocks,notows,doe,doc,uoe,uoc
"INSHORE REGULAR","03800","GME MAINE",58,4352,6913,4348,4358,6906,6930,14,1,,,,
"INSHORE REGULAR","03810","GME MAINE",38,4349,6916,4347,4352,6906,6930,9,1,,,,
"INSHORE REGULAR","03820","GME MAINE",209,,,4356,4438,6837,6909,,,,,,
"INSHORE REGULAR","03830","GME MAINE",80,4356,6859,4351,4401,6837,6908,21,1,,,,
"INSHORE REGULAR","03840","GME MAINE",137,,,4400,4433,6811,6837,,,,,,
"INSHORE REGULAR","03850","GME MAINE",106,4406,6815,4400,4420,6810,6837,27,1,,,,
"INSHORE REGULAR","03860","GME MAINE",60,,,4418,4437,6731,6811,,,,,,
"INSHORE REGULAR","03870","GME MAINE",153,4423,6745,4405,4428,6730,6810,44,2,,,,
"INSHORE REGULAR","03880","GME MAINE",34,,,4429,4450,6655,6735,,,,,,
"INSHORE REGULAR","03890","GME MAINE",59,4431,6722,4428,4449,6655,6732,12,1,,,,
"INSHORE REGULAR","03900","GME MAINE",125,4426,6714,4422,4449,6653,6730,67,2,,,,
"INSHORE REGULAR","03910","MAB LONG IS SD",941,,,4048,4119,7202,7348,,,,,,
"INSHORE REGULAR","03920","GME MAINE",352,,,4424,4448,6704,6734,,,,,,
"SHRIMP","04010","JEFFREYS LEDGE",427,4305,7018,4244,4327,7000,7036,116,6,,,,
"SHRIMP","04020","MASSBAY-TILLIES",508,4228,7022,4210,4246,7002,7041,138,2,,,,
"SHRIMP","04030","PLATTS BANK",851,4313,6945,4245,4341,6930,7000,231,10,,,,
"SHRIMP","04040","WILDCAT KNOLL",427,4100,6959,4200,4300,6942,7016,116,2,,,,
"SHRIMP","04050","WILKINSON BASIN",1053,4328,6945,4150,4305,6930,7000,286,5,,,,
"SHRIMP","04060","3DORY-TOOTHRAKER",1289,4309,6915,4237,4341,6900,6930,350,11,,,,
"SHRIMP","04070","WILKINSON BASIN",1061,4212,6914,4139,4246,6858,6930,288,6,,,,
"SHRIMP","04080","CASHES-JEFFREYS",1466,4312,6845,4233,4352,6830,6900,398,7,,,,
"SHRIMP","04090","RODGERS-HOWELL",667,4222,6845,4200,4243,6830,6900,181,3,,,,
"SHRIMP","04100","NEWFOUND GROUND",1621,4314,6815,4232,4356,6800,6830,440,,,,,
"SHRIMP","04110","FRANKLIN BASIN",1234,4202,6815,4132,4232,6800,6830,335,,,,,
"SHRIMP","04120","FRANKLIN SWELL",1926,4131,6900,4106,4216,6830,6950,523,6,,,,
"SCOTIAN SHELF","05310","SCO OFF BROWNS B",1875,4252,6536,4208,4308,6510,6704,,,,,,
"SCOTIAN SHELF","05320","SCO BROWNS BANK",655,4239,6556,4222,4252,6516,6627,,,,,,
"SCOTIAN SHELF","05410","SCO ROSEWAYBASIN",1478,4312,6446,4245,4345,6414,6523,,,,,,
"SCOTIAN SHELF","05420","SCO ROSEWAY BANK",161,4324,6441,4317,4332,6430,6452,,,,,,
"SCOTIAN SHELF","05430","SCO SW OFHALIFAX",920,4359,6356,4332,4421,6320,6435,,,,,,
"SCOTIAN SHELF","05440","SCO LAHAVE BASIN",1004,4341,6345,4313,4405,6318,6420,,,,,,
"SCOTIAN SHELF","05450","SCO BACCARO BANK",156,4258,6445,4250,4305,6436,6504,,,,,,
"SCOTIAN SHELF","05460","SCO LAHAVE BANK",265,4311,6405,4259,4323,6353,6416,,,,,,
"SCOTIAN SHELF","05470","SCO S OF BACCARO",1232,4245,6437,4218,4306,6410,6517,,,,,,
"SCOTIAN SHELF","05480","SCO SE OF LAHAVE",1249,4302,6341,4246,4336,6320,6418,,,,,,
"SCOTIAN SHELF","05490","SCO SCOTIANSLOPE",233,4236,6427,4206,4251,6320,6536,,,,,,
"SHELLFISH","06010","MAB OFF HATTERAS",1163,3601,7511,3530,3630,7451,7536,,,,,,
"SHELLFISH","06020","MAB OFF HATTERAS",175,3559,7459,3530,3630,7450,7504,,,,,,
"SHELLFISH","06030","MAB OFF HATTERAS",126,3600,7455,3530,3630,7448,7459,,,,,,
"SHELLFISH","06040","MAB OFF HATTERAS",117,3600,7451,3530,3630,7446,7455,,,,,,
"SHELLFISH","06050","MAB CHESAPEAKE B",453,3640,7515,3630,3655,7450,7540,,,,,,
"SHELLFISH","06060","MAB CHESAPEAKE B",62,3636,7450,3630,3641,7447,7452,,,,,,
"SHELLFISH","06070","MAB CHESAPEAKE B",46,3635,7447,3630,3640,7446,7450,,,,,,
"SHELLFISH","06080","MAB CHESAPEAKE B",74,3636,7446,3630,3639,7442,7448,,,,,,
"SHELLFISH","06090","MAB CHESAPEAKE B",2171,3719,7506,3641,3755,7442,7539,,,,,,
"SHELLFISH","06100","MAB CHESAPEAKE B",152,3719,7446,3640,3745,7439,7457,,,,,,
"SHELLFISH","06110","MAB CHESAPEAKE B",229,3726,7438,3639,3743,7426,7452,,,,,,
"SHELLFISH","06120","MAB CHESAPEAKE B",204,3723,7435,3638,3737,7421,7447,,,,,,
"SHELLFISH","06130","MAB DELAWARE BAY",1127,3814,7434,3745,3843,7414,7503,,,,,,
"SHELLFISH","06140","MAB DELAWARE BAY",219,3816,7414,3743,3826,7407,7443,,,,,,
"SHELLFISH","06150","MAB DELAWARE BAY",394,3810,7408,3736,3822,7354,7439,,,,,,
"SHELLFISH","06160","MAB DELAWARE BAY",211,3808,7400,3734,3815,7352,7426,,,,,,
"SHELLFISH","06170","MAB DELAWARE BAY",749,3845,7420,3826,3903,7350,7447,,,,,,
"SHELLFISH","06180","MAB DELAWARE BAY",249,3833,7403,3822,3843,7345,7414,,,,,,
"SHELLFISH","06190","MAB DELAWARE BAY",274,3827,7350,3815,3841,7333,7407,,,,,,
"SHELLFISH","06200","MAB DELAWARE BAY",120,3826,7340,3813,3834,7323,7355,,,,,,
"SHELLFISH","06210","MAB NEW JERSEY",1650,3918,7342,3843,3959,7309,7429,,,,,,
"SHELLFISH","06220","MAB NEW JERSEY",312,3903,7332,3840,3929,7308,7350,,,,,,
"SHELLFISH","06230","MAB NEW JERSEY",714,3857,7321,3834,3928,7254,7345,,,,,,
"SHELLFISH","06240","MAB NEW JERSEY",476,3851,7308,3829,3918,7246,7333,,,,,,
"SHELLFISH","06250","SNE HUDSON CANYN",648,3951,7323,3929,4024,7304,7351,,,,,,
"SHELLFISH","06260","SNE HUDSON CANYN",188,3951,7311,3928,4021,7300,7349,,,,,,
"SHELLFISH","06270","SNE HUDSON CANYN",451,3935,7250,3918,4009,7240,7339,,,,,,
